alias,Condition 1,Condition 2,Condition 3,Condition 4,Condition 5,Condition 6,Condition 7,Condition 8,Condition 9,Condition 10,Condition 11,Condition 12,Condition 13,Condition 14,systematic_name,description,short_description,secretome,other_criterion,color
AGP3,1.03,3.91,1.47,3.88,0.99,0.97,1.23,2.41,1.1,2.58,0.84,1.64,1.86,2.51,YFL055W,Low-affinity amino acid permease; may act to supply the cell with amino acids as nitrogen source in nitrogen-poor conditions; transcription is induced under conditions of sulfur limitation; plays a role in regulating Ty1 transposition,Low-affinity amino acid permease; may ac...,True,False,green
YFL068W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YFL068W,Putative protein of unknown function,Putative protein of unknown function,True,True,green
YFH7,13.68,3.61,19.68,9.34,12.83,11.95,14.12,9.68,10.7,6.07,13.48,7.18,15.33,7.57,YFR007W,Putative kinase with similarity to the PRK/URK/PANK kinase subfamily; the PRK/URK/PANK subfamily of P-loop kinases is also known as phosphoribulokinase/uridine kinase/bacterial pantothenate kinase,Putative kinase with similarity to the P...,False,False,green
YFR018C,18.1,137.06,19.09,78.1,22.4,21.99,22.21,77.38,24.62,144.03,18.95,120.53,22.25,82.21,YFR018C,Putative protein of unknown function,Putative protein of unknown function,False,True,green
MET10,86.7,28.17,50.66,17.14,72.63,65.69,147.34,101.16,114.69,49.29,61.97,17.45,66.61,37.6,YFR030W,Subunit alpha of assimilatory sulfite reductase; complex converts sulfite into sulfide,Subunit alpha of assimilatory sulfite re...,False,False,green
OSW7,25.7,135.45,35.53,183.18,23.34,21.73,25.6,104.04,21.69,162.88,23.66,133.78,33.45,135.13,YFR039C,"Protein involved in outer spore wall assembly; likely involved directly in dityrosine layer assembly; may be involved in response to high salt and changes in carbon source; deletion mutant has decreased spore survival in Drosophila feces; OSW7 has a paralog, SHE10, that arose from the whole genome duplication; deletion of both OSW7 and SHE10 results in reduced dityrosine fluorescence from the spore wall relative to other mutants",Protein involved in outer spore wall ass...,False,True,green
RET2,177.38,56.3,179.12,67.71,169.83,166.55,160.97,110.81,160.04,72.14,163.15,71.68,200.81,102.03,YFR051C,Delta subunit of the coatomer complex (COPI); COPI coats Golgi-derived transport vesicles; involved in retrograde transport between Golgi and ER,Delta subunit of the coatomer complex (C...,False,False,green
LEU1,191.16,49.46,61.32,21.15,81.44,77.79,264.79,163.66,297.39,112.09,85.03,31.47,203.74,92.93,YGL009C,Isopropylmalate isomerase; catalyzes the second step in the leucine biosynthesis pathway,Isopropylmalate isomerase; catalyzes the...,False,True,green
ALK1,32.87,9.46,41.17,18.93,24.72,21.74,27.88,20.22,26.51,15.37,28.02,15.53,33.89,21.08,YGL021W,"Protein kinase; along with its paralog, ALK2, required for proper spindle positioning and nuclear segregation following mitotic arrest, proper organization of cell polarity factors in mitosis, proper localization of formins and polarity factors, and survival in cells that activate spindle assembly checkpoint; phosphorylated in response to DNA damage; ALK1 has a paralog, ALK2, that arose from the whole genome duplication; similar to mammalian haspins","Protein kinase; along with its paralog, ...",False,False,green
MIG1,42.39,11.4,50.91,17.49,42.61,40.74,40.01,23.34,35.36,14.41,37.5,16.08,46.07,20.03,YGL035C,Transcription factor involved in glucose repression; sequence specific DNA binding protein containing two Cys2His2 zinc finger motifs; regulated by the SNF1 kinase and the GLC7 phosphatase; regulates filamentous growth along with Mig2p in response to glucose depletion; shuttles between cytosol and nucleus depending on external glucose levels and its phosphorylation state,Transcription factor involved in glucose...,False,True,green
RPT6,179.55,44.7,200.31,75.26,158.11,157.48,190.29,125.83,181.67,75.57,151.83,61.39,220.67,104.27,YGL048C,ATPase of the 19S regulatory particle of the 26S proteasome; one of six ATPases of the regulatory particle; involved in the degradation of ubiquitinated substrates; bound by ubiquitin-protein ligases Ubr1p and Ufd4p; localized mainly to the nucleus throughout the cell cycle; protein abundance increases in response to DNA replication stress,ATPase of the 19S regulatory particle of...,False,False,green
DUO1,24.65,5.99,29.79,10.6,20.81,21.32,26.7,16.74,20.81,9.5,24.92,12.76,20.18,11.03,YGL061C,Essential subunit of the Dam1 complex (aka DASH complex); cooperates with Dam1p to connect the DASH complex with microtubules (MT); couples kinetochores to the force produced by MT depolymerization thereby aiding in chromosome segregation; is transferred to the kinetochore prior to mitosis,Essential subunit of the Dam1 complex (a...,False,True,green
RPL7A,1544.18,408.69,965.33,439.4,1561.29,1586.59,1603.54,999.88,1538.91,682.1,1406.41,746.87,1123.46,538.88,YGL076C,"Ribosomal 60S subunit protein L7A; required for processing of 27SA3 pre-rRNA to 27SB pre-rRNA during assembly of large ribosomal subunit; depletion leads to a turnover of pre-rRNA; contains a conserved C-terminal Nucleic acid Binding Domain (NDB2); binds to Domain II of 25S and 5.8S rRNAs; homologous to mammalian ribosomal protein L7 and bacterial L30; RPL7A has a paralog, RPL7B, that arose from the whole genome duplication",Ribosomal 60S subunit protein L7A; requi...,False,False,green
MF(ALPHA)2,0.46,0.08,0.38,0.08,0.51,0.58,0.16,0.09,0.4,0.14,0.18,0.73,0.16,0.88,YGL089C,"Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)1, which is more highly expressed; MF(ALPHA)2 has a paralog, MF(ALPHA)1, that arose from the whole genome duplication","Mating pheromone alpha-factor, made by a...",True,True,green
YGL101W,77.13,21.05,88.59,39.39,60.52,62.85,70.9,49.77,65.16,31.49,74.14,38.99,73.2,38.78,YGL101W,"Protein of unknown function; non-essential gene; interacts with the DNA helicase Hpr5p; YGL101W has a paralog, YBR242W, that arose from the whole genome duplication",Protein of unknown function; non-essenti...,False,False,green
SNF4,82.65,28.45,119.01,44.28,78.68,75.07,88.91,59.45,78.05,34.94,92.76,36.23,98.26,50.55,YGL115W,"Activating gamma subunit of the AMP-activated Snf1p kinase complex; additional subunits of the complex are Snf1p and a Sip1p/Sip2p/Gal83p family member; activates glucose-repressed genes, represses glucose-induced genes; role in sporulation, and peroxisome biogenesis; protein abundance increases in response to DNA replication stress",Activating gamma subunit of the AMP-acti...,False,True,green
CWC23,12.71,4.99,16.37,7.51,11.04,9.85,10.22,7.26,10.28,4.23,11.99,6.16,12.23,4.67,YGL128C,Component of a complex containing Cef1p; putatively involved in pre-mRNA splicing; has similarity to E. coli DnaJ and other DnaJ-like proteins and to S. pombe Cwf23p,Component of a complex containing Cef1p;...,False,False,green
HUL5,18.06,4.98,27.68,9.08,14.35,12,17.18,11.49,14,7.08,15.46,4.99,23.59,14.23,YGL141W,"Multiubiquitin chain assembly factor (E4); proteasome processivity factor that elongates polyUb chains on substrates, opposing Ubp6p, a branched polyubiquitin protease; required for retrograde transport of misfolded proteins during ERAD",Multiubiquitin chain assembly factor (E4...,False,True,green
CDC43,17.7,6.99,23.83,11.49,16.23,15.37,18.01,13.29,18.76,9.91,18.1,8.66,21.76,13.5,YGL155W,Beta subunit of geranylgeranyltransferase type I; catalyzes geranylgeranylation to the cysteine residue in proteins containing a C-terminal CaaX sequence ending in Leu or Phe; has substrates important for morphogenesis,Beta subunit of geranylgeranyltransferas...,False,False,green
HUR1,0,0,0.08,0,0,0.13,0.07,0,0,0,0.06,0,0,0,YGL168W,Protein of unknown function; reported null mutant phenotype of hydroxyurea sensitivity may be due to effects on overlapping PMR1 gene,Protein of unknown function; reported nu...,True,True,green
GTS1,49.08,13.44,62.18,23.93,42.57,48.05,49.58,33.71,43.61,17.25,41.56,20.8,59.48,27.81,YGL181W,"Protein involved in Arf3p regulation and in transcription regulation; localizes to the nucleus and to endocytic patches; contains an N-terminal Zn-finger and ArfGAP homology domain, a C-terminal glutamine-rich region, and a UBA (ubiquitin associated) domain; gts1 mutations affect budding, cell size, heat tolerance, sporulation, life span, ultradian rhythms, endocytosis; expression oscillates in a pattern similar to metabolic oscillations",Protein involved in Arf3p regulation and...,False,False,green
HOS2,26.11,8.89,38.64,18.28,22.6,19.76,24.9,17.49,20.97,11.64,27.49,10.28,30.45,16.75,YGL194C,"Histone deacetylase and subunit of Set3 and Rpd3L complexes; required for gene activation via specific deacetylation of lysines in H3 and H4 histone tails; subunit of the Set3 complex, a meiotic-specific repressor of sporulation specific genes that contains deacetylase activity; co-localizes with Cmr1p in nuclear foci in response to DNA damage by MMS",Histone deacetylase and subunit of Set3 ...,False,True,green
CHC1,205.32,39.6,230.67,66.8,200.83,195,225.3,129.92,210.59,87.68,219.81,77.25,263.73,111.65,YGL206C,Clathrin heavy chain; subunit of the major coat protein involved in intracellular protein transport and endocytosis; the clathrin triskelion is a trimeric molecule composed of three heavy chains that radiate from a vertex and three light chains which bind noncovalently near the vertex of the triskelion; the light chain (CLC1) is thought to regulate function,Clathrin heavy chain; subunit of the maj...,False,False,green
NIF3,123.43,42.85,134.56,55.43,119.31,121.23,126.94,91.44,117.45,54.27,114.95,52.6,135.78,72.62,YGL221C,"Protein of unknown function; similar to Listeria monocytogenes major sigma factor (rpoD gene product); the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",Protein of unknown function; similar to ...,False,True,green
TAN1,54.18,10.61,53.13,22.18,46.01,52.37,63.68,38.19,57.41,24.78,55.87,27.9,64.48,29.63,YGL232W,Putative tRNA acetyltransferase; RNA-binding protein required for the formation of the modified nucleoside N(4)-acetylcytidine in serine and leucine tRNAs but not required for the same modification in 18S rRNA; protein abundance increases in response to DNA replication stress,Putative tRNA acetyltransferase; RNA-bin...,False,False,green
GUS1,609.62,218.07,558.97,234.71,653.14,687.67,662.54,457.54,684.72,272.02,640.83,313.13,658.35,395.07,YGL245W,Glutamyl-tRNA synthetase (GluRS); forms a complex with methionyl-tRNA synthetase (Mes1p) and Arc1p; complex formation increases the catalytic efficiency of both tRNA synthetases and ensures their correct localization to the cytoplasm; protein abundance increases in response to DNA replication stress,Glutamyl-tRNA synthetase (GluRS); forms ...,False,True,green
MNT2,11.96,58.29,15.5,65.03,10.53,9.33,15.11,50.46,14.8,70.58,15.18,52.89,17.51,45.63,YGL257C,Mannosyltransferase; involved in adding the 4th and 5th mannose residues of O-linked glycans,Mannosyltransferase; involved in adding ...,True,False,green
CUL3,10.14,2.9,12.41,5.3,9.11,8.7,11.91,7.59,10.24,5.04,11.38,4.42,12.06,6.37,YGR003W,Ubiquitin-protein ligase; forms a complex with Elc1p that polyubiquitylates monoubiquitylated RNA polymerase II to trigger its proteolysis; cullin family member with similarity to Cdc53p and human CUL3,Ubiquitin-protein ligase; forms a comple...,False,True,green
YGR016W,9.87,17.13,16.1,27.29,7.53,7.89,8.63,12.77,6.19,18.01,9.7,20.74,12.18,18.59,YGR016W,Putative protein of unknown function,Putative protein of unknown function,True,False,green
POP6,37.03,7.29,34.58,16.41,25.83,22.95,30.64,16.5,27.44,11.68,37.15,24.42,16.81,11.83,YGR030C,"Subunit of both RNase MRP and nuclear RNase P; forms a soluble heterodimer with Pop7p that binds P3 domain of RNase MRP and RNase P RNAs; RNase MRP cleaves pre-rRNA, while nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs; relocalizes to the cytosol in response to hypoxia",Subunit of both RNase MRP and nuclear RN...,False,True,green
BUD9,15.69,2.89,17.77,8.83,14.36,14.84,14.25,9.45,11.73,10.83,15.38,12.56,14.46,7.62,YGR041W,"Protein involved in bud-site selection; mutant has increased aneuploidy tolerance; diploid mutants display a unipolar budding pattern instead of the wild-type bipolar pattern, and bud at the distal pole; BUD9 has a paralog, BUD8, that arose from the whole genome duplication",Protein involved in bud-site selection; ...,True,False,green
MUP1,229.96,1480.58,251.48,1328.53,252.38,218.7,294.65,916.22,271.16,713.14,245.29,402.19,214.21,428.14,YGR055W,High affinity methionine permease; integral membrane protein with 13 putative membrane-spanning regions; also involved in cysteine uptake,High affinity methionine permease; integ...,True,True,green
ART5,8.24,2.39,8.97,5.55,9.59,7.21,8.14,6.62,8.84,3.26,7.93,3.3,7.82,3.73,YGR068C,Protein proposed to regulate endocytosis of plasma membrane proteins; regulates by recruiting the ubiquitin ligase Rsp5p to its target in the plasma membrane,Protein proposed to regulate endocytosis...,False,False,green
TOM20,174.13,91.68,159.94,102.74,168.05,168.86,159.28,123.64,156.56,115.81,162.27,147.41,136.54,103.44,YGR082W,Component of the TOM (translocase of outer membrane) complex; responsible for recognition and initial import steps for all mitochondrially directed proteins; acts as a receptor for incoming precursor proteins,Component of the TOM (translocase of out...,False,True,green
VAS1,306.53,98.56,215.2,80.58,336.3,323.33,373.28,269.46,368.79,175.23,343.43,124.38,284.95,173.09,YGR094W,Mitochondrial and cytoplasmic valyl-tRNA synthetase,Mitochondrial and cytoplasmic valyl-tRNA...,False,False,green
VOA1,346.11,1662.72,325.83,1479.51,359.89,306.05,359.52,945.35,343.77,1851.3,351.45,1833.21,364.71,1508.1,YGR106C,ER protein that functions in assembly of the V0 sector of V-ATPase; functions with other assembly factors; null mutation enhances the vacuolar ATPase (V-ATPase) deficiency of a vma21 mutant impaired in endoplasmic reticulum (ER) retrieval,ER protein that functions in assembly of...,True,True,green
MEP1,24.12,168.72,69.11,298.6,15.19,14.8,7.15,23.27,7.26,20.98,10.15,19.87,83.01,239.72,YGR121C,"Ammonium permease; belongs to a ubiquitous family of cytoplasmic membrane proteins that transport only ammonium (NH4+); expression is under the nitrogen catabolite repression regulation; MEP1 has a paralog, MEP3, that arose from the whole genome duplication",Ammonium permease; belongs to a ubiquito...,True,False,green
PHB1,136.39,54.83,176.51,73.34,124.61,126.6,134.35,98.34,132.23,58.58,143.57,66.95,151.98,85.64,YGR132C,Subunit of the prohibitin complex (Phb1p-Phb2p); prohibitin is a 1.2 MDa ring-shaped inner mitochondrial membrane chaperone that stabilizes newly synthesized proteins; determinant of replicative life span; involved in mitochondrial segregation; prohibitin deficiency induces a mitochondrial unfolded protein response (mtUPR),Subunit of the prohibitin complex (Phb1p...,False,True,green
ECL1,17.74,4.25,30.82,13.73,12.76,12.6,25.54,14.86,19.14,8.65,19.16,7.53,22.76,10.37,YGR146C,Protein of unknown function; mitochondrial-dependent role in the extension of chronological lifespan; overexpression increases oxygen consumption and respiratory activity while deletion results in reduced oxygen consumption under conditions of caloric restriction; induced by iron homeostasis transcription factor Aft2p; multicopy suppressor of temperature sensitive hsf1 mutant; induced by treatment with 8-methoxypsoralen and UVA irradiation,Protein of unknown function; mitochondri...,False,False,green
MTR3,35.16,12.99,27.56,13.55,35.37,35.71,36.19,22.23,38.47,15.85,44.63,23.77,27.3,12,YGR158C,Exosome non-catalytic core component; involved in 3'-5' RNA processing and degradation in both the nucleus and the cytoplasm; has similarity to E. coli RNase PH and to human hMtr3p (EXOSC6),Exosome non-catalytic core component; in...,False,True,green
PSD2,7.81,2.45,12.27,5.12,7.77,6.7,8.45,5.68,8.12,3.4,8.58,3.76,11.24,5.21,YGR170W,Phosphatidylserine decarboxylase of the Golgi and vacuolar membranes; converts phosphatidylserine to phosphatidylethanolamine; controls vacuolar membrane phospholipid content by regulating phospholipids in compartments that will eventually give rise to the vacuole; loss of Psd2p causes a specific reduction in vacuolar membrane PE levels while total PE levels are not significantly affected,Phosphatidylserine decarboxylase of the ...,False,False,green
QCR9,96.83,31.42,194.37,84.1,70.3,61.96,57.21,33.81,63.66,25.04,101.43,59.12,129.78,53.58,YGR183C,Subunit 9 of ubiquinol cytochrome-c reductase (Complex III); Complex III is a component of the mitochondrial inner membrane electron transport chain; required for electron transfer at the ubiquinol oxidase site of the complex,Subunit 9 of ubiquinol cytochrome-c redu...,False,True,green
FYV8,20.02,3.28,25.57,9.45,17.38,18.33,20.78,12.37,20.07,6.52,20.01,7.51,23.65,8.57,YGR196C,Protein of unknown function; required for survival upon exposure to K1 killer toxin,Protein of unknown function; required fo...,False,False,green
CIR1,112.22,29.45,141.72,52.47,79.41,93.16,112.52,70.05,100.12,38.61,110.03,50.53,125.17,55.97,YGR207C,Mitochondrial protein that interacts with frataxin (Yfh1p); putative ortholog of mammalian electron transfer flavoprotein complex subunit ETF-beta; may have a role in oxidative stress response,Mitochondrial protein that interacts wit...,False,True,green
MRPL9,59.84,19.07,86.75,40.96,49.39,51.89,54.28,35.59,46.13,23.88,59.26,30.24,55.91,35.34,YGR220C,Mitochondrial ribosomal protein of the large subunit,Mitochondrial ribosomal protein of the l...,False,False,green
YHB1,337.73,94.17,369.28,124.82,327.44,340.04,473.96,304.31,335.93,134.18,352.87,129.17,441.86,202.72,YGR234W,Nitric oxide oxidoreductase; flavohemoglobin involved in nitric oxide detoxification; plays a role in the oxidative and nitrosative stress responses; protein increases in abundance and relocalizes from nucleus to cytoplasmic foci upon DNA replication stress,Nitric oxide oxidoreductase; flavohemogl...,False,True,green
BRF1,21.67,6.05,25.93,10.63,20.95,19.51,24.12,15.79,23.31,9.41,23.64,9.69,24.43,12.63,YGR246C,"TFIIIB B-related factor; one of three subunits of RNA polymerase III transcription initiation factor TFIIIB, binds TFIIIC and TBP and recruits RNA pol III to promoters, amino-terminal half is homologous to TFIIB",TFIIIB B-related factor; one of three su...,False,False,green
RAD2,8.5,3.55,13.05,5.66,6.42,6.88,8.75,7.15,8.57,4.45,8.8,4.11,10.25,6.76,YGR258C,Single-stranded DNA endonuclease; cleaves single-stranded DNA during nucleotide excision repair to excise damaged DNA; subunit of Nucleotide Excision Repair Factor 3 (NEF3); homolog of human XPG protein,Single-stranded DNA endonuclease; cleave...,False,True,green
YGR273C,0.2,0,0.48,0.28,0.34,0,0.27,0.1,0.15,0,0.25,0.27,0.18,0,YGR273C,"Putative protein of unknown function; expression downregulated by treatment with 8-methoxypsoralen plus UVA irradiation; not an essential gene; YGR273C has a paralog, YMR295C, that arose from the whole genome duplication",Putative protein of unknown function; ex...,False,False,green
ZUO1,751.65,209.36,567.58,193.66,876.24,941.12,787.14,487.66,856.54,274.05,780.8,287.72,687.97,313.95,YGR285C,"Ribosome-associated chaperone; functions in ribosome biogenesis and, in partnership with Ssz1p and SSb1/2, as a chaperone for nascent polypeptide chains; contains a DnaJ domain and functions as a J-protein partner for Ssb1p and Ssb2p",Ribosome-associated chaperone; functions...,False,True,green
ETP1,8.42,1.95,16.08,7.53,5.44,6.62,7.7,4.69,6.72,3.04,7.06,3.93,11.51,5.67,YHL010C,"Putative protein of unknown function required for growth on ethanol; contains a zinc finger region and has homology to human BRAP2, which is a cytoplasmic protein that binds nuclear localization sequences",Putative protein of unknown function req...,False,False,green
AIM17,103.59,28.13,310,105.32,65.73,68.39,41.12,30.71,59.17,25.85,72,26.7,180.28,84.03,YHL021C,"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; null mutant displays reduced frequency of mitochondrial genome loss",Putative protein of unknown function; th...,False,True,green
RPL8A,1144.86,392.86,894.52,358.74,1229.33,1321.45,1140.01,742.05,1326.89,471.49,1185.92,524.02,1006.43,513.2,YHL033C,"Ribosomal 60S subunit protein L8A; required for processing of 27SA3 pre-rRNA to 27SB pre-rRNA during assembly of large ribosomal subunit; depletion leads to a turnover of pre-rRNA; L8 binds to Domain I of 25S and 5.8 S rRNAs; mutation results in decreased amounts of free 60S subunits; homologous to mammalian ribosomal protein L7A, no bacterial homolog; RPL8A has a paralog, RPL8B, that arose from the whole genome duplication",Ribosomal 60S subunit protein L8A; requi...,False,False,green
COS8,13.36,53.59,28.27,122.02,12.57,16.17,18.95,56.93,15,55.88,19.35,53.13,28.23,82.88,YHL048W,"Nuclear membrane protein; member of the DUP380 subfamily of conserved, often subtelomerically-encoded proteins; regulation suggests a potential role in the unfolded protein response",Nuclear membrane protein; member of the ...,True,True,green
TCD1,34.8,11.09,42.47,19.08,25.32,25,34.77,25.9,30.19,18.06,35.16,26.66,32.73,20.12,YHR003C,"tRNA threonylcarbamoyladenosine dehydratase; required for the ct6A tRNA base modification, where an adenosine at position 37 is modified to form a cyclized active ester with an oxazolone ring; localized to the mitochondrial outer membrane; TCD1 has a paralog, TCD2, that arose from the whole genome duplication",tRNA threonylcarbamoyladenosine dehydrat...,False,False,green
